frame,n,p50_us,p95_us,p99_us,max_us,over,temp_c,cur_khz,volt_uv,curr_ua,power_mw,aud_q,aud_under,aud_over
11280,60,4958,6216,7310,7310,0,38,1608000,3921000,,,2167,0,13
11340,60,4709,14082,14738,14738,0,41,600000,3911000,,,1121,0,25
11400,60,13060,14519,15573,15573,0,40,600000,3930000,,,0,37,0
11460,60,12986,14029,14954,14954,0,40,600000,3936000,,,734,36,0
11520,60,13008,14788,15274,15274,0,40,408000,3925000,,,734,36,0
11580,60,13820,14561,15257,15257,0,39,408000,3932000,,,734,39,0
11640,60,13878,14476,14700,14700,0,39,600000,3925000,,,0,41,0
11700,60,13202,14453,14764,14764,0,40,600000,3942000,,,734,38,0
11760,60,5486,6932,7561,7561,0,41,1008000,3926000,,,1833,6,5
11820,60,3896,5086,5197,5197,0,41,1416000,3923000,,,2670,0,6
11880,60,4019,6022,6022,6022,0,41,1416000,3923000,,,1626,0,13
11940,60,3909,6718,7193,7193,0,42,1416000,3922000,,,2463,0,12
12000,60,4100,4965,6243,6243,0,41,1008000,3920000,,,1419,0,24
12060,60,4061,5119,5874,5874,0,42,1416000,3910000,,,2256,0,0
12120,60,4159,5408,6098,6098,0,41,1200000,3924000,,,3093,0,14
12180,60,4083,15038,15367,15367,0,42,1416000,3919000,,,2049,0,10
12240,60,16678,19513,20607,20607,31,42,816000,3932000,,,734,34,0
12300,60,17476,18355,19154,19154,45,41,1008000,3915000,,,734,37,0
12360,60,16118,17881,18517,18517,28,42,1416000,3915000,,,0,36,0
12420,60,16272,20395,21851,21851,29,41,816000,3915000,,,734,36,0
12480,60,15988,18589,18985,18985,23,42,816000,3921000,,,734,36,0
12540,60,11817,19533,20526,20526,27,42,1800000,3917000,,,1470,23,0
12600,60,11932,13573,14817,14817,0,43,1800000,3912000,,,1470,20,0
12660,60,11918,14196,14511,14511,0,43,1608000,3926000,,,1059,23,0
12720,60,12676,15399,15684,15684,0,42,1608000,3904000,,,1059,27,0
12780,60,14544,16191,17114,17114,2,43,1608000,3928000,,,734,33,0
12840,60,13204,14609,15394,15394,0,43,1200000,3914000,,,734,28,0
12900,60,15302,18734,19677,19677,8,43,1008000,3931000,,,0,34,0
12960,60,19245,21299,21996,21996,59,42,816000,3917000,,,0,40,0
13020,60,17740,18666,19080,19080,60,41,816000,3932000,,,0,38,0
13080,60,17427,18000,18860,18860,53,42,816000,3930000,,,734,37,0
13140,60,17735,18552,18905,18905,48,42,1800000,3914000,,,1470,37,0
13200,60,14470,17110,18412,18412,8,43,1200000,3911000,,,734,32,0
13260,60,17348,18829,19656,19656,34,42,1200000,3928000,,,1470,36,0
13320,60,16246,18705,19591,19591,27,43,816000,3901000,,,734,35,0
13380,60,18407,19399,21065,21065,52,42,816000,3918000,,,0,39,0
13440,60,17672,18417,19124,19124,57,41,816000,3924000,,,0,38,0
13500,60,16260,18408,18780,18780,27,42,1416000,3913000,,,734,35,0
13560,60,13869,15953,16174,16174,0,43,1800000,3917000,,,734,31,0
13620,60,13462,15219,15855,15855,0,43,1416000,3910000,,,734,29,0
13680,60,6654,18610,19721,19721,5,42,600000,3913000,,,734,7,8
13740,60,19400,26204,26402,26402,60,41,408000,3936000,,,734,48,0
13800,60,25268,26360,26408,26408,60,40,408000,3925000,,,0,58,0
13860,60,25023,26135,27249,27249,58,40,408000,3932000,,,0,53,0
13920,60,20216,26693,27945,27945,50,40,600000,3920000,,,734,49,0
13980,60,19839,26429,26678,26678,58,41,408000,3914000,,,734,46,0
14040,60,26399,27475,27993,27993,60,40,408000,3916000,,,734,59,0
14100,60,26077,27101,27279,27279,60,39,408000,3917000,,,734,59,0
14160,60,26604,27341,27745,27745,60,40,408000,3929000,,,734,57,0
14220,60,20193,26369,26634,26634,55,40,408000,3919000,,,0,48,0
14280,60,26496,27123,27620,27620,60,40,600000,3935000,,,0,58,0
14340,60,20333,25034,26913,26913,60,40,408000,3935000,,,734,46,0
14400,60,25950,27165,27619,27619,60,40,408000,3937000,,,0,54,0
14460,60,25808,27146,28892,28892,50,40,816000,3938000,,,734,52,0
14520,60,25561,26360,26711,26711,59,39,408000,3921000,,,734,55,0
14580,60,21463,26162,26592,26592,60,40,600000,3931000,,,734,51,0
14640,60,25280,26094,26459,26459,60,39,408000,3908000,,,734,57,0
